GlobalTick;ProblemType;ResourceType;PmId;VmId;AppId;CPUAll;MEMAll;STORAll;CPUUse;MEMUse;STORUse
1792;wasteOfResources;VM;1;1;;47;32;30;29;24;19;
1793;wasteOfResources;VM;1;1;;47;32;30;38;22;20;
1794;wasteOfResources;VM;1;1;;47;32;30;30;23;17;
1795;wasteOfResources;VM;1;1;;47;32;30;32;21;15;
1796;wasteOfResources;VM;1;1;;47;32;30;37;21;15;
1838;wasteOfResources;VM;1;2;;47;39;27;37;25;20;
1839;wasteOfResources;VM;1;2;;47;39;27;30;22;15;
1840;wasteOfResources;VM;1;2;;47;39;27;30;23;16;
1841;wasteOfResources;VM;1;2;;47;39;27;35;21;19;
1846;wasteOfResources;VM;1;1;;47;35;28;36;23;16;
1891;wasteOfResources;VM;1;2;;49;36;27;34;26;20;
1892;wasteOfResources;VM;1;2;;49;36;27;34;23;18;
1896;wasteOfResources;VM;1;1;;47;35;27;39;25;20;
1897;wasteOfResources;VM;1;1;;47;35;27;31;23;17;
1898;wasteOfResources;VM;1;1;;47;35;27;27;21;17;
1899;wasteOfResources;VM;1;1;;47;35;27;34;23;22;
1900;wasteOfResources;VM;1;1;;47;35;27;27;16;18;
1942;wasteOfResources;VM;1;2;;49;36;30;39;21;20;
1943;wasteOfResources;VM;1;2;;49;36;30;31;25;22;
1944;wasteOfResources;VM;1;2;;49;36;30;31;21;22;
1945;wasteOfResources;VM;1;2;;49;36;30;34;24;18;
1950;wasteOfResources;VM;1;1;;47;35;29;38;20;20;
1951;wasteOfResources;VM;1;1;;47;35;29;32;22;22;
1995;wasteOfResources;VM;1;2;;49;35;29;31;22;22;
1996;wasteOfResources;VM;1;2;;49;35;29;35;22;22;
1997;wasteOfResources;VM;1;2;;49;35;29;35;19;15;
1998;wasteOfResources;VM;1;2;;49;35;29;32;19;16;
2001;wasteOfResources;VM;1;1;;47;35;30;38;20;17;
2002;wasteOfResources;VM;1;1;;47;35;30;25;23;20;
2003;wasteOfResources;VM;1;1;;47;35;30;35;19;23;
2004;wasteOfResources;VM;1;1;;47;35;30;33;22;20;
2013;newApp;APP;;;11;;;;0;0;0
2048;wasteOfResources;VM;1;2;;46;35;29;32;20;19;
2049;wasteOfResources;VM;1;2;;46;35;29;29;22;18;
2054;wasteOfResources;VM;1;1;;47;34;30;30;22;18;
2055;wasteOfResources;VM;1;1;;47;34;30;27;24;20;
2056;wasteOfResources;VM;2;3;;30;31;62;35;27;13;
2057;wasteOfResources;VM;2;3;;30;31;62;38;22;14;
2099;wasteOfResources;VM;1;2;;46;35;26;37;21;14;
2105;wasteOfResources;VM;1;1;;47;35;28;32;25;19;
2106;wasteOfResources;VM;2;1;;47;35;28;32;25;19;
2107;wasteOfResources;VM;1;1;;47;35;28;32;25;19;
2108;wasteOfResources;VM;2;3;;30;31;23;35;26;15;
2149;wasteOfResources;VM;1;2;;47;36;27;34;28;15;
2158;wasteOfResources;VM;2;3;;30;31;22;44;25;14;
2160;wasteOfResources;VM;1;1;;47;35;30;5;5;2;
2161;wasteOfResources;VM;2;1;;47;35;30;5;5;2;
2162;wasteOfResources;VM;2;1;;47;35;30;5;5;2;
2163;wasteOfResources;VM;1;1;;47;35;30;5;5;2;
2164;wasteOfResources;VM;2;1;;47;35;30;5;5;2;
2165;wasteOfResources;VM;2;1;;47;35;30;5;5;2;
2166;wasteOfResources;VM;1;1;;47;35;30;5;5;2;
2167;wasteOfResources;VM;2;1;;47;35;30;5;5;2;
2168;wasteOfResources;VM;1;1;;47;35;30;5;5;2;
2169;wasteOfResources;VM;1;1;;47;35;30;5;5;2;
2170;wasteOfResources;VM;2;1;;47;35;30;5;5;2;
2199;wasteOfResources;VM;1;2;;49;42;26;31;24;20;
2208;wasteOfResources;VM;2;3;;30;31;21;38;24;15;
2223;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2224;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2225;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2226;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2249;wasteOfResources;VM;1;2;;48;36;29;35;23;19;
2250;wasteOfResources;VM;1;2;;48;36;29;29;24;17;
2258;wasteOfResources;VM;2;3;;30;31;22;38;23;15;
2276;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2277;wasteOfResources;VM;1;1;;15;15;9;5;5;2;
2278;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2279;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2280;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2300;wasteOfResources;VM;1;2;;48;35;29;33;24;12;
2308;wasteOfResources;VM;2;3;;30;31;22;43;27;13;
2309;wasteOfResources;VM;2;3;;30;31;22;37;21;15;
2310;slaViolation;APP;1;3;11;30;31;22;32;16;13
2311;slaViolation;APP;2;4;11;30;31;62;32;16;13
2312;slaViolation;APP;2;4;11;30;31;62;32;16;13
2313;wasteOfResources;VM;1;3;;30;31;22;5;5;2;
2316;wasteOfResources;VM;2;4;;30;31;62;41;30;11;
2331;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2332;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2333;wasteOfResources;VM;1;1;;15;15;9;5;5;2;
2334;wasteOfResources;VM;1;1;;15;15;9;5;5;2;
2350;wasteOfResources;VM;1;2;;49;35;27;32;22;19;
2351;wasteOfResources;PM;1;;;15;15;9;5;5;2;
2352;wasteOfResources;PM;1;;;15;15;9;5;5;2;
2353;wasteOfResources;PM;1;;;15;15;9;5;5;2;
2354;wasteOfResources;VM;2;2;;49;35;27;32;22;19;
2355;wasteOfResources;VM;2;2;;49;35;27;30;19;18;
2366;wasteOfResources;VM;2;4;;30;31;22;40;23;12;
2367;wasteOfResources;VM;2;4;;30;31;22;41;29;14;
2368;wasteOfResources;VM;2;4;;30;31;22;45;24;13;
2390;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2391;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2392;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2393;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2394;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2404;newApp;APP;;;12;;;;0;0;0
2405;wasteOfResources;VM;2;2;;48;35;30;35;21;18;
2406;wasteOfResources;VM;2;2;;48;35;30;35;25;17;
2418;wasteOfResources;VM;2;4;;30;31;22;38;25;12;
2428;newApp;APP;;;13;;;;0;0;0
2429;newApp;APP;;;14;;;;0;0;0
2430;newApp;APP;;;15;;;;0;0;0
2431;newApp;APP;;;16;;;;0;0;0
2444;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2445;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2456;wasteOfResources;VM;2;2;;53;38;28;34;20;15;
