@relation cpu

@attribute CPU8ALL numeric
@attribute CPU9ALL numeric
@attribute CPU10ALL numeric
@attribute CPU8USE numeric
@attribute CPU9USE numeric
@attribute CPU10USE numeric
@attribute MEM8ALL numeric
@attribute MEM9ALL numeric
@attribute MEM10ALL numeric
@attribute MEM8USE numeric
@attribute MEM9USE numeric
@attribute MEM10USE numeric
@attribute STOR8ALL numeric
@attribute STOR9ALL numeric
@attribute STOR10ALL numeric
@attribute STOR8USE numeric
@attribute STOR9USE numeric
@attribute STOR10USE numeric
@attribute SLACpu numeric
@attribute SLAMemory numeric
@attribute SLAStorage numeric
@attribute EVAL numeric

@data
0,0,60,10,0,10,0,0,20,20,40,30,0,0,60,20,20,20,50,20,50,-10.941176
20,20,80,20,10,20,40,40,70,60,70,60,20,20,80,30,30,40,50,20,50,-10.482353
0,0,60,10,0,0,0,0,20,40,20,40,0,0,60,20,10,20,50,20,50,-13.454902
20,20,80,20,10,10,40,40,70,70,60,70,20,20,80,30,20,20,50,20,50,-13.745098
20,20,80,10,10,10,40,40,60,30,30,30,20,20,70,0,10,10,50,10,50,0.486275
40,40,90,10,10,10,40,40,70,20,20,20,40,40,60,20,20,20,50,20,20,0.470588
50,50,80,30,30,30,40,40,70,40,40,40,20,20,80,30,30,30,30,20,50,-10.541176
0,0,30,10,10,10,0,0,20,30,20,30,0,0,50,20,20,20,30,20,50,-10.941176
50,50,80,30,30,30,40,40,70,40,30,40,20,20,80,30,30,30,30,20,50,-10.541176
10,10,70,10,10,10,10,10,30,10,10,10,0,0,60,20,10,10,50,10,50,-7.717647
0,0,50,10,10,10,0,0,20,10,10,10,0,0,50,20,10,10,50,10,50,-7.941176
10,10,70,10,10,10,10,10,30,10,10,10,0,0,60,20,10,10,50,10,50,-7.717647
0,0,50,10,10,10,0,0,20,10,10,10,0,0,50,20,10,10,50,10,50,-7.941176
0,0,50,10,10,10,0,0,20,10,10,10,0,0,50,20,10,10,50,10,50,-7.941176
0,0,50,10,10,10,0,0,20,10,10,10,0,0,50,20,10,10,50,10,50,-7.772549
10,10,70,10,10,10,10,10,30,10,10,10,0,0,60,20,10,10,50,10,50,-7.717647
30,30,90,20,20,20,20,20,50,50,40,40,40,40,100,40,30,50,50,20,50,-16.494118
30,30,90,20,20,30,20,20,50,40,50,40,40,40,100,40,30,40,50,20,50,-16.490196
40,40,70,10,10,10,40,40,60,20,20,20,40,40,90,20,20,20,30,20,50,-11.941176
0,0,30,10,10,10,0,0,20,20,20,20,0,0,50,20,20,20,30,20,50,-11.72549
20,20,80,10,20,20,20,20,50,60,60,50,30,30,90,40,40,30,50,20,50,-19.713725
0,0,60,0,10,0,0,0,20,30,30,20,0,0,60,20,20,10,50,20,50,-19.941176
10,10,70,0,10,0,10,10,40,30,30,20,0,0,60,20,20,10,50,20,50,-19.694118
10,10,70,0,0,10,10,10,40,30,20,20,0,0,60,10,10,10,50,20,50,-19.701961
10,10,70,10,10,0,10,10,40,20,40,30,0,0,60,20,30,20,50,20,50,-21.682353
10,10,70,10,0,10,10,10,40,30,40,30,0,0,60,20,10,10,50,20,50,-22.682353
10,10,70,10,0,10,10,10,40,20,30,50,0,0,60,20,10,20,50,20,50,-22.698039
30,30,60,20,20,20,20,20,50,60,60,40,30,30,90,30,40,40,30,20,50,-12.466667
0,0,60,0,10,0,0,0,20,20,30,30,0,0,60,20,30,0,50,20,50,-25.941176
