@relation MoveVm

@attribute CPU8 numeric
@attribute CPU9 numeric
@attribute CPU10 numeric
@attribute MEM8 numeric
@attribute MEM9 numeric
@attribute MEM10 numeric
@attribute STOR8 numeric
@attribute STOR9 numeric
@attribute STOR10 numeric
@attribute PMCPU8 numeric
@attribute PMCPU9 numeric
@attribute PMCPU10 numeric
@attribute PMMEM8 numeric
@attribute PMMEM9 numeric
@attribute PMMEM10 numeric
@attribute PMSTOR8 numeric
@attribute PMSTOR9 numeric
@attribute PMSTOR10 numeric
@attribute EVAL numeric

@data
20,20,20,30,30,30,10,10,10,40,40,40,30,30,30,40,40,40,0.164706
20,20,20,30,30,30,10,10,10,80,80,80,80,80,80,50,50,50,0.217647
20,20,20,20,20,30,20,20,20,60,60,60,50,50,50,50,50,50,0.272549
40,40,40,20,20,30,30,30,30,80,80,80,60,60,60,70,70,70,0.247059
10,10,10,10,10,10,0,0,0,20,20,20,30,30,30,20,20,20,0.098039
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,70,70,70,0.176471
30,30,30,20,20,20,30,30,30,50,50,50,50,50,50,50,50,50,0.254902
20,20,20,30,30,20,10,10,10,50,50,50,40,40,40,40,40,40,0.180392
20,20,20,30,30,20,10,10,10,90,90,90,90,90,80,50,50,50,0.215686
40,40,40,30,30,30,30,30,30,60,60,60,60,60,60,60,60,60,0.272549
40,40,40,30,30,30,30,30,30,90,90,90,90,90,90,60,60,60,0.278431
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,60,60,60,0.178431
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,70,70,70,0.184314
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.245098
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,70,70,70,0.184314
40,40,30,30,30,30,30,30,30,90,90,90,80,80,90,60,60,60,0.343137
20,20,20,30,30,30,20,20,20,100,100,90,90,90,90,90,90,90,0.370588
30,30,30,20,20,20,30,30,30,80,80,70,60,60,60,60,60,60,0.266667
20,20,20,30,30,30,20,20,20,70,70,70,80,80,80,50,50,50,0.272549
20,20,20,20,20,20,10,10,10,70,70,70,80,80,80,50,50,50,0.243137
20,20,20,20,20,20,10,10,10,60,60,60,60,60,60,50,50,50,0.237255
20,20,20,20,20,20,10,10,10,70,70,70,80,80,80,50,50,50,0.243137
20,20,20,20,20,20,10,10,10,60,60,60,60,60,60,50,50,50,0.237255
20,20,20,20,20,20,10,10,10,70,70,70,80,80,80,50,50,50,0.243137
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.182353
10,10,10,10,10,10,0,0,0,80,80,80,70,70,70,60,60,60,0.158824
10,10,10,10,10,10,0,0,0,60,60,60,70,70,70,50,50,50,0.17451
10,10,10,10,10,10,0,0,0,80,80,80,70,70,70,60,60,60,0.158824
10,10,10,10,10,10,0,0,0,60,60,60,70,70,70,50,50,50,0.17451
10,10,10,10,10,10,0,0,0,80,80,80,70,70,70,60,60,60,0.164706
30,30,30,20,20,20,30,30,30,70,70,70,60,60,60,50,50,50,0.268627
20,20,20,30,30,30,20,20,20,60,60,60,70,70,70,60,60,60,0.256863
20,20,20,30,30,30,20,20,20,90,90,90,90,90,90,80,80,80,0.323529
20,20,20,30,30,30,10,10,10,70,70,70,70,70,70,40,40,40,0.221569
30,30,30,20,20,20,20,20,20,90,90,90,90,90,90,90,90,90,0.335294
30,30,30,20,20,30,20,20,20,80,80,80,70,70,70,60,60,60,0.260784
10,10,10,10,10,10,0,0,0,50,50,50,60,60,60,30,30,30,0.086275
30,30,30,20,20,20,30,30,30,50,50,50,60,60,60,30,30,30,0.164706
30,30,30,20,20,20,30,30,30,80,80,80,80,80,80,80,80,70,0.32549
10,10,10,10,10,10,0,0,0,80,80,80,70,70,70,70,70,70,0.264706
10,10,10,10,10,10,0,0,0,50,50,50,60,60,60,30,30,30,0.086275
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,80,80,80,0.266667
30,30,30,20,20,20,20,20,20,70,70,70,70,70,70,40,40,40,0.219608
30,30,30,20,20,20,20,20,20,60,60,60,60,60,60,60,60,60,0.25098
30,30,30,20,20,20,20,20,20,70,70,70,70,70,70,40,40,40,0.219608
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.15098
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.170588
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.192157
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.14902
30,30,30,20,20,20,20,20,20,50,50,50,50,50,50,50,50,50,0.268627
30,30,30,20,20,20,20,20,20,90,90,90,80,80,80,70,70,70,0.276471
30,30,30,20,20,20,20,20,20,50,50,50,50,50,50,50,50,50,0.260784
30,30,30,20,20,20,20,20,20,90,90,90,80,80,80,70,70,70,0.276471
30,30,30,20,20,20,30,30,30,50,50,50,50,50,50,50,50,50,0.290196
30,30,30,20,20,20,30,30,30,90,90,90,80,80,80,70,70,70,0.284314
30,30,30,20,20,20,30,30,30,50,50,50,50,50,50,50,50,50,0.290196
30,30,30,20,20,20,30,30,30,90,90,90,80,80,80,70,70,70,0.284314
30,30,30,20,20,20,20,20,20,50,50,50,50,50,50,50,50,50,0.27451
30,30,30,20,20,20,20,20,20,90,100,100,80,90,90,70,70,70,0.288235
30,30,30,20,20,20,20,20,20,80,80,80,70,70,70,70,70,70,0.317647
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,80,80,80,0.254902
10,10,10,10,10,10,0,0,0,20,20,20,30,30,30,10,10,10,0.086275
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,80,80,80,0.254902
20,20,20,30,30,30,20,20,20,60,60,60,70,70,70,50,50,50,0.266667
10,10,10,10,10,10,0,0,0,30,30,30,40,40,40,30,30,30,0.094118
20,20,20,30,30,30,10,10,10,80,80,80,80,80,80,60,60,60,0.32549
20,20,20,30,30,30,10,10,10,60,60,60,70,70,70,50,50,50,0.247059
30,30,30,30,30,30,30,30,30,60,60,60,40,40,40,50,50,50,0.258824
30,30,30,30,30,30,30,30,30,100,100,100,90,90,90,70,70,70,0.243137
30,30,30,20,20,20,30,30,30,90,90,90,90,90,90,80,80,80,0.34902
20,20,20,30,30,30,20,20,20,50,50,50,60,60,60,40,40,40,0.264706
20,20,20,30,30,30,10,10,10,70,70,70,80,80,80,60,60,60,0.288235
10,10,10,10,10,10,0,0,0,100,100,100,80,80,80,70,70,70,0.182353
10,10,10,10,10,10,0,0,0,100,100,100,80,80,80,70,70,70,0.184314
10,10,10,10,10,10,0,0,0,50,50,50,40,40,40,30,30,30,0.090196
30,30,30,30,30,30,20,20,20,100,100,100,80,80,80,70,70,70,0.27451
10,10,10,10,10,10,0,0,0,50,50,50,40,40,40,30,30,30,0.094118
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.170588
10,10,10,10,10,10,0,0,0,50,50,50,40,40,40,30,30,30,0.094118
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.170588
20,20,20,30,30,30,10,10,10,50,50,50,40,40,40,30,30,30,0.182353
20,20,20,30,30,30,10,10,10,70,70,70,90,90,90,60,60,60,0.329412
30,30,30,20,20,20,30,30,30,80,80,80,60,60,60,70,70,70,0.278431
20,20,20,30,30,30,10,10,10,90,90,90,90,90,90,50,50,50,0.243137
20,20,20,30,30,30,10,10,10,50,50,50,50,50,50,40,40,40,0.164706
20,20,20,30,30,30,10,10,10,90,90,90,90,90,90,50,50,50,0.243137
20,20,20,30,30,30,10,10,10,50,50,50,50,50,50,40,40,40,0.164706
20,20,20,30,30,30,10,10,10,90,90,90,90,90,90,50,50,50,0.243137
20,20,20,30,30,30,10,10,10,50,50,50,50,50,50,40,40,40,0.164706
20,20,20,30,30,30,10,10,10,90,90,90,90,90,90,50,50,50,0.243137
30,30,30,30,30,20,30,30,30,80,80,80,90,90,80,70,70,70,0.256863
30,30,30,30,30,20,30,30,30,30,30,30,20,20,20,30,30,30,0.178431
30,30,30,30,30,20,30,30,30,80,80,80,90,90,80,70,70,70,0.256863
30,30,30,30,30,20,30,30,30,30,30,30,20,20,20,30,30,30,0.178431
30,30,30,30,30,20,30,30,30,80,80,80,90,90,80,70,70,70,0.256863
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,70,70,70,0.178431
10,10,10,10,10,10,0,0,0,30,30,30,20,20,20,30,30,30,0.084314
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,70,70,70,0.178431
10,10,10,10,10,10,0,0,0,60,60,60,50,50,50,50,50,50,0.184314
10,10,10,10,10,10,0,0,0,50,50,50,60,60,60,30,30,30,0.092157
30,30,30,30,30,20,20,20,20,60,60,60,50,50,50,50,50,50,0.268627
10,10,10,10,10,10,0,0,0,60,60,60,50,50,50,50,50,50,0.17451
10,10,10,10,10,10,0,0,0,50,50,50,60,60,60,30,30,30,0.082353
20,20,20,30,30,30,10,10,10,90,90,90,80,80,80,70,70,70,0.327451
10,10,10,10,10,10,0,0,0,30,30,30,30,30,30,10,10,10,0.011765
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,70,70,70,0.194118
10,10,10,10,10,10,0,0,0,30,30,30,30,30,30,10,10,10,0.011765
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,70,70,70,0.194118
30,30,30,20,20,20,30,30,30,60,60,60,50,50,50,50,50,50,0.188235
30,30,30,20,20,30,30,30,30,90,90,90,80,80,80,70,70,70,0.262745
30,30,30,20,20,30,30,30,30,50,50,50,60,60,60,40,40,40,0.186275
30,30,30,20,20,30,30,30,30,90,90,90,80,80,80,70,70,70,0.262745
30,30,30,20,20,30,30,30,30,50,50,50,60,60,60,40,40,40,0.186275
30,30,30,20,20,30,30,30,30,90,90,90,80,80,80,70,70,70,0.262745
30,30,30,20,20,30,30,30,30,60,60,60,60,60,60,40,40,40,0.241176
30,30,30,20,20,20,20,20,20,60,60,60,50,50,50,40,40,40,0.172549
30,30,30,20,20,20,30,30,30,60,60,60,60,60,60,40,40,40,0.270588
30,30,30,20,20,20,30,30,30,90,90,90,80,80,80,70,70,70,0.270588
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,50,50,50,0.180392
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,60,60,60,0.176471
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,50,50,50,0.178431
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,60,60,60,0.172549
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.17451
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.182353
30,30,30,30,30,30,20,20,20,70,70,70,80,80,80,70,70,70,0.337255
10,10,10,10,10,10,0,0,0,10,70,70,10,50,50,0,60,60,0.105882
10,10,10,10,10,10,0,0,0,90,90,90,70,70,70,70,70,70,0.090196
10,10,10,30,30,20,20,20,20,70,70,70,90,90,80,60,60,60,0.311765
10,10,10,10,10,10,0,0,0,50,50,50,60,60,60,50,50,50,0.188235
10,10,10,10,10,10,0,0,0,90,90,90,70,70,70,80,80,80,0.196078
20,20,20,30,30,30,20,20,20,60,60,60,50,50,50,40,40,40,0.186275
20,20,20,30,30,30,20,20,20,50,50,50,50,50,50,50,50,50,0.264706
20,20,20,30,30,20,20,20,20,60,60,60,50,50,50,40,40,40,0.182353
20,20,20,30,30,20,20,20,20,80,80,80,80,80,70,80,80,80,0.343137
20,20,20,30,30,20,20,20,20,60,60,60,50,50,50,40,40,40,0.182353
20,20,20,30,30,20,20,20,20,80,80,80,80,80,70,80,80,80,0.343137
30,30,30,20,20,20,30,30,30,90,90,100,90,90,90,90,90,90,0.337255
10,10,10,10,10,10,0,0,0,100,100,100,90,90,90,90,90,90,0.268627
20,20,20,30,30,30,10,10,10,40,40,40,40,40,40,20,20,20,0.156863
30,30,30,20,20,20,30,30,30,40,40,40,50,50,50,40,40,40,0.256863
30,30,30,20,20,20,30,30,30,70,70,70,60,60,60,50,50,50,0.282353
30,30,30,20,20,20,30,30,30,40,40,40,50,50,50,40,40,40,0.256863
30,30,30,20,20,20,30,30,30,70,70,70,60,60,60,50,50,50,0.282353
30,30,30,20,20,20,30,30,30,40,40,40,50,50,50,40,40,40,0.262745
30,30,30,20,20,20,30,30,30,90,90,90,80,80,80,60,60,60,0.292157
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.184314
10,10,10,10,10,10,0,0,0,60,60,60,70,70,70,50,50,50,0.160784
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.184314
10,10,10,10,10,10,0,0,0,60,60,60,70,70,70,50,50,50,0.160784
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.184314
10,10,10,10,10,10,0,0,0,60,60,60,70,70,70,50,50,50,0.160784
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.184314
10,10,10,10,10,10,0,0,0,60,60,60,70,70,70,50,50,50,0.158824
10,10,10,10,10,10,0,0,0,50,50,50,40,40,40,30,30,30,0.098039
10,10,10,10,10,10,0,0,0,60,60,60,50,50,50,50,50,50,0.172549
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.186275
30,30,30,20,20,20,30,30,30,60,60,60,50,50,50,50,50,50,0.239216
10,10,10,20,20,20,20,20,20,60,60,60,70,70,70,50,50,50,0.229412
30,30,30,20,20,20,20,20,20,60,60,60,70,70,70,50,50,50,0.247059
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,50,50,50,0.178431
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.186275
30,30,30,20,20,20,30,30,30,60,60,60,60,60,60,50,50,50,0.288235
30,30,30,20,20,20,30,30,30,90,90,90,80,80,80,60,60,60,0.294118
30,30,30,30,30,20,20,20,20,90,90,90,90,90,90,90,90,80,0.341176
30,30,30,30,30,20,20,20,20,50,50,50,40,40,40,30,30,30,0.180392
30,30,30,30,30,20,20,20,20,90,90,90,90,90,90,90,90,80,0.341176
10,10,10,10,10,10,0,0,0,50,50,50,40,40,40,30,30,30,0.1
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,30,30,30,0.092157
10,10,10,20,20,30,20,20,20,80,80,80,80,80,80,70,70,80,0.327451
30,30,30,20,20,20,20,20,20,80,80,80,80,80,80,80,80,80,0.323529
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.180392
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.178431
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.182353
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,80,80,80,0.268627
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.186275
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,80,80,80,0.260784
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.186275
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.172549
10,10,10,10,10,10,0,0,0,100,100,100,80,80,80,70,70,70,0.196078
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,60,60,60,0.17451
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.172549
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,60,60,60,0.17451
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.172549
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.184314
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.111765
30,30,30,30,30,20,20,20,20,80,80,70,60,60,60,80,80,80,0.268627
30,30,30,30,30,20,20,20,20,30,30,30,30,30,30,30,30,30,0.182353
30,30,30,30,30,20,20,20,20,80,80,70,60,60,60,80,80,80,0.268627
30,30,30,30,30,20,20,20,20,30,30,30,30,30,30,30,30,30,0.182353
30,30,30,30,30,20,20,20,20,80,80,70,60,60,60,80,80,80,0.268627
30,30,30,20,20,20,30,30,30,30,30,30,30,30,30,30,30,30,0.196078
30,30,30,20,20,20,30,30,30,90,90,90,80,80,80,60,60,60,0.219608
10,10,10,10,10,10,0,0,0,70,70,70,50,50,50,60,60,60,0.207843
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.088235
30,30,30,30,30,30,20,20,20,90,90,90,90,90,90,60,60,60,0.164706
30,30,30,20,20,20,30,30,30,80,80,80,60,60,60,70,70,70,0.309804
30,30,30,20,20,20,30,30,30,60,60,60,50,50,50,40,40,40,0.207843
30,30,30,20,20,20,30,30,30,80,80,80,60,60,60,70,70,70,0.309804
10,10,10,10,10,10,0,0,0,70,70,70,50,50,50,60,60,60,0.201961
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
30,30,30,30,30,30,20,20,20,90,90,90,80,80,80,70,70,70,0.252941
30,30,30,30,30,30,20,20,20,90,90,90,90,90,90,60,60,60,0.180392
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,70,70,70,0.209804
30,30,30,30,30,30,20,20,20,90,90,90,80,80,80,70,70,70,0.258824
30,30,30,30,30,30,20,20,20,40,40,40,40,40,40,20,20,20,0.096078
30,30,30,30,30,30,20,20,20,90,90,90,80,80,80,70,70,70,0.258824
30,30,30,30,30,30,20,20,20,70,70,70,70,70,70,50,50,50,0.180392
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,70,70,70,0.205882
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,20,20,20,0.011765
30,30,30,30,30,30,20,20,20,60,60,60,50,50,50,50,50,50,0.178431
30,30,30,30,30,30,20,20,20,70,70,70,70,70,70,50,50,50,0.172549
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,70,70,70,0.205882
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,50,50,50,0.094118
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,70,70,70,0.205882
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,50,50,50,0.094118
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,50,50,50,0.094118
10,10,10,10,10,10,0,0,0,90,90,90,60,60,60,70,70,70,0.207843
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.084314
10,10,10,10,10,10,0,0,0,40,40,40,30,30,30,40,40,40,0.101961
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.084314
10,10,10,10,10,10,0,0,0,90,90,90,70,70,70,60,60,60,0.198039
10,10,10,10,10,10,0,0,0,30,30,30,20,20,20,30,30,30,0.1
10,10,10,10,10,10,0,0,0,90,90,90,70,70,70,60,60,60,0.198039
10,10,10,10,10,10,0,0,0,40,40,40,30,30,30,40,40,40,0.1
10,10,10,10,10,10,0,0,0,40,40,40,30,30,30,40,40,40,0.092157
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.088235
30,30,30,20,20,20,30,30,30,40,40,40,30,30,30,40,40,40,0.205882
30,30,30,20,20,20,30,30,30,90,80,80,60,60,60,70,70,70,0.311765
10,10,10,10,10,10,0,0,0,100,100,100,80,80,80,80,80,80,0.2
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,50,50,50,0.090196
10,10,10,10,10,10,0,0,0,100,100,100,80,80,80,80,80,80,0.211765
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,50,50,50,0.1
10,10,10,10,10,10,0,0,0,60,60,60,50,50,50,50,50,50,0.094118
10,10,10,10,10,10,0,0,0,60,60,60,50,50,50,40,40,40,0.094118
10,10,10,10,10,10,0,0,0,60,60,60,50,50,50,40,40,40,0.092157
10,10,10,10,10,10,0,0,0,100,100,100,80,80,80,80,80,80,0.196078
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,50,50,50,0.086275
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,70,70,70,0.215686
