@relation MoveVm-weka.filters.unsupervised.instance.Resample-S1-Z100.0

@attribute CPU8 numeric
@attribute CPU9 numeric
@attribute CPU10 numeric
@attribute MEM8 numeric
@attribute MEM9 numeric
@attribute MEM10 numeric
@attribute STOR8 numeric
@attribute STOR9 numeric
@attribute STOR10 numeric
@attribute PMCPU8 numeric
@attribute PMCPU9 numeric
@attribute PMCPU10 numeric
@attribute PMMEM8 numeric
@attribute PMMEM9 numeric
@attribute PMMEM10 numeric
@attribute PMSTOR8 numeric
@attribute PMSTOR9 numeric
@attribute PMSTOR10 numeric
@attribute EVAL numeric

@data
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,20,20,20,0.011765
20,20,20,30,30,30,10,10,10,70,70,70,70,70,70,50,50,50,0.141176
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.082353
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.178431
10,10,10,10,10,10,0,0,0,80,80,80,50,50,50,40,40,40,0.117647
10,10,10,10,10,10,0,0,0,70,70,70,60,60,60,40,40,40,0.119608
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
30,30,30,20,20,20,10,10,10,90,90,90,90,90,90,60,60,60,0.276471
10,10,10,10,10,10,0,0,0,100,100,100,90,90,90,70,70,70,0.123529
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,30,30,30,0.088235
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,50,50,50,0.098039
40,40,40,20,20,20,20,20,20,80,80,80,50,50,50,50,50,50,0.370588
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,80,80,80,70,70,70,50,50,50,0.113725
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
30,30,30,30,30,30,20,20,20,60,60,60,50,50,50,30,30,30,0.17451
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,60,60,60,0.088235
30,30,30,30,30,20,30,30,30,30,30,30,20,20,20,30,30,30,0.178431
10,10,10,10,10,10,0,0,0,80,80,80,90,90,90,60,60,60,0.094118
10,10,10,10,10,10,0,0,0,30,30,30,30,30,30,10,10,10,0.011765
10,10,10,10,10,10,0,0,0,60,60,60,80,80,80,50,50,50,0.133333
50,50,50,10,10,10,20,20,20,70,70,70,50,50,50,40,40,40,0.096078
30,30,30,20,20,20,20,20,20,60,90,90,60,90,90,60,130,120,0.362745
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
40,40,40,40,40,40,20,20,30,0,0,0,0,0,0,0,0,0,0.131373
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.176471
10,10,10,10,10,10,0,0,0,50,50,50,60,60,60,40,40,40,0.117647
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,40,40,40,0.123529
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,30,30,30,0.14902
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,40,40,40,0.143137
10,10,10,10,10,10,0,0,0,70,70,70,60,60,60,70,70,70,0.160784
10,10,10,20,20,20,20,20,20,70,70,70,80,80,80,50,50,50,0.180392
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,20,20,20,0.011765
10,10,10,10,10,10,0,0,0,50,50,50,50,50,50,50,50,50,0.107843
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.107843
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.101961
10,10,10,10,10,10,0,0,0,90,90,90,70,70,70,70,70,70,0.201961
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
30,30,30,20,20,20,30,30,20,30,30,30,30,30,30,10,10,10,0.12549
10,10,10,10,10,10,0,0,0,50,50,50,90,90,90,30,30,30,0.117647
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,40,40,40,20,20,20,60,60,60,80,80,80,40,40,40,0.184314
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.103922
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,20,20,20,0.011765
10,10,10,10,10,10,0,0,0,40,40,40,80,80,80,50,50,50,0.229412
20,20,20,30,30,30,30,30,20,80,80,80,90,90,90,60,60,60,0.192157
30,30,30,20,20,20,30,30,30,90,90,90,70,70,70,80,80,80,0.258824
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,60,60,60,0.096078
40,40,30,30,30,30,30,30,30,80,80,70,80,80,80,60,60,60,0.333333
10,10,10,10,10,10,0,0,0,80,80,80,100,100,100,60,60,60,0.131373
30,30,40,20,20,20,30,30,30,50,50,50,40,40,40,30,30,30,0.198039
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,60,60,60,0.196078
10,10,10,10,10,10,0,0,0,60,80,80,60,90,90,30,80,80,0.115686
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
10,10,10,10,10,10,0,0,0,50,50,50,50,50,50,40,40,40,0.135294
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,50,50,50,0.107843
