@relation cpu

@attribute CPU8ALL numeric
@attribute CPU9ALL numeric
@attribute CPU10ALL numeric
@attribute CPU8USE numeric
@attribute CPU9USE numeric
@attribute CPU10USE numeric
@attribute MEM8ALL numeric
@attribute MEM9ALL numeric
@attribute MEM10ALL numeric
@attribute MEM8USE numeric
@attribute MEM9USE numeric
@attribute MEM10USE numeric
@attribute STOR8ALL numeric
@attribute STOR9ALL numeric
@attribute STOR10ALL numeric
@attribute STOR8USE numeric
@attribute STOR9USE numeric
@attribute STOR10USE numeric
@attribute SLACpu numeric
@attribute SLAMemory numeric
@attribute SLAStorage numeric
@attribute EVAL numeric

@data
50,50,70,30,30,30,40,40,100,30,30,30,70,70,80,60,60,50,10,50,10,-28.407843
40,40,80,10,10,10,40,40,100,0,10,0,20,20,70,20,10,30,30,50,40,-38.768627
40,40,90,20,20,20,40,40,60,10,10,20,30,30,70,30,30,30,40,10,30,0.564706
0,0,50,0,0,0,0,0,20,0,0,0,0,0,10,0,0,0,40,10,10,-5.572549
40,40,90,10,10,10,40,40,60,10,10,10,20,20,40,20,20,20,40,10,10,-11.784314
0,0,50,10,10,10,0,0,20,10,10,10,0,0,10,20,20,20,40,10,10,-11.941176
0,0,100,10,10,10,0,0,40,10,10,10,0,0,30,20,20,20,40,10,10,-11.941176
40,40,90,10,10,10,40,40,60,10,10,10,20,20,40,20,20,20,40,10,10,-11.784314
40,40,90,20,20,20,30,30,50,20,20,20,40,40,60,40,50,40,40,10,10,-11.72549
0,0,40,0,0,0,0,0,40,0,0,0,0,0,10,0,0,0,30,40,10,-5.776471
30,30,60,20,20,20,20,20,30,10,20,20,10,10,50,50,50,50,20,10,30,-21.733333
40,40,60,10,10,10,30,30,90,0,10,10,20,20,30,20,20,20,10,50,10,0.396078
60,60,90,30,30,30,60,60,90,20,10,20,30,30,80,30,30,40,20,20,40,0.572549
0,0,40,0,0,0,0,0,60,0,0,0,0,0,50,0,0,0,30,50,50,-5.807843
40,40,100,30,20,30,50,50,100,10,10,20,40,40,70,20,30,30,50,30,20,0.552941
40,40,70,10,10,10,40,40,70,10,0,0,20,20,70,10,10,30,20,20,40,-5.792157
0,0,10,10,10,10,0,0,60,10,0,10,0,0,10,10,10,10,10,50,10,-3.941176
0,0,10,10,10,10,0,0,60,10,0,10,0,0,10,10,10,10,10,50,10,-3.941176
40,40,60,30,20,30,40,40,100,20,10,10,20,20,30,30,30,30,10,50,10,-3.623529
0,0,40,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,30,40,50,-5.811765
40,40,70,10,10,10,20,20,80,10,0,0,20,20,70,20,20,20,20,40,40,0.439216
0,0,50,0,0,0,0,0,20,0,0,0,0,0,40,0,0,0,40,10,40,-5.65098
70,70,100,0,10,10,70,70,100,10,10,10,40,40,90,20,10,20,20,20,40,-7.772549
0,0,40,0,0,0,0,0,30,0,0,0,0,0,10,0,0,0,40,30,10,-5.54902
0,0,40,0,0,0,0,0,50,0,0,0,0,0,10,0,0,0,30,40,10,-5.603922
0,0,30,10,10,10,0,0,50,0,0,10,0,0,50,20,30,30,20,40,40,-14.564706
60,60,80,0,0,0,60,60,80,0,0,0,30,30,80,0,0,0,20,10,40,-5.941176
0,0,40,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,30,50,50,-5.654902
0,0,40,0,0,0,0,0,20,0,0,0,0,0,30,0,0,0,30,10,30,-5.788235
0,0,40,0,0,0,0,0,30,0,0,0,0,0,20,0,0,0,40,20,20,-5.776471
0,0,40,0,0,0,0,0,60,0,0,0,0,0,20,0,0,0,40,50,20,-5.756863
60,60,100,0,0,0,60,60,100,0,0,0,30,30,90,0,0,0,30,30,50,0.247059
0,0,30,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,20,10,20,-5.658824
0,0,30,0,0,0,0,0,20,0,0,0,0,0,40,0,0,0,20,20,40,-5.756863
30,30,60,10,0,20,20,20,60,10,10,10,30,30,50,10,10,20,30,30,10,0.435294
40,40,100,0,0,0,40,40,70,0,0,0,20,20,80,0,0,0,50,20,50,0.196078
0,0,40,0,0,0,0,0,50,0,0,0,0,0,30,0,0,0,40,50,20,-5.815686
40,40,100,10,10,10,40,40,100,10,0,0,30,30,60,10,10,10,50,50,20,0.384314
40,40,100,0,0,0,40,40,60,0,0,0,20,20,60,0,0,0,50,10,30,0.180392
60,60,80,0,0,0,60,60,100,0,0,0,30,30,70,0,0,0,20,30,30,0.27451
0,0,30,0,0,0,0,0,40,0,0,0,0,0,50,0,0,0,20,40,50,-5.760784
0,0,30,10,10,10,0,0,40,10,10,10,0,0,50,20,20,40,20,40,50,-6.760784
20,20,50,10,10,0,20,20,50,10,10,10,40,40,70,20,20,30,20,20,20,0.407843
50,50,70,30,20,30,50,50,90,20,20,20,60,60,90,40,40,40,10,30,20,0.596078
0,0,60,0,0,0,0,0,40,0,0,0,0,0,50,0,0,0,50,30,50,-5.776471
0,0,50,0,0,0,0,0,50,0,0,0,0,0,40,0,0,0,50,40,40,-5.784314
0,0,30,0,0,0,0,0,60,0,0,0,0,0,40,0,0,0,20,60,40,-5.607843
30,30,70,20,30,30,30,30,70,20,20,10,30,30,80,50,40,50,20,40,50,-10.772549
0,0,50,0,0,0,0,0,20,0,0,0,0,0,50,0,0,0,40,10,50,-5.607843
70,70,90,50,30,30,60,60,100,30,30,30,70,70,90,50,60,60,10,30,20,-9.796078
0,0,20,20,10,10,0,0,30,10,0,10,0,0,20,20,10,20,10,30,20,-9.764706
50,50,70,40,30,30,40,40,80,20,10,10,30,30,60,30,30,30,10,30,20,-9.584314
60,60,80,10,20,20,40,40,80,10,10,20,60,60,100,30,40,40,10,30,30,0.533333
0,0,30,0,0,0,0,0,40,0,0,0,0,0,50,0,0,0,30,30,50,-5.658824
60,60,80,20,30,30,60,60,100,10,20,20,40,40,70,30,30,30,10,30,20,-16.776471
70,70,90,40,40,50,40,40,80,30,30,20,50,50,80,50,50,40,10,30,20,-27.941176
0,0,20,10,10,10,0,0,30,10,10,10,0,0,20,10,20,10,10,30,20,-27.631373
0,0,40,10,10,10,0,0,70,10,10,10,0,0,50,10,20,10,10,30,20,-27.631373
30,30,50,30,20,30,40,40,80,10,20,20,30,30,50,30,30,30,10,30,20,-27.815686
70,70,90,20,40,40,40,40,80,30,30,20,50,50,80,50,50,40,10,30,20,-27.941176
