GlobalTick;PmId;VmId;AppId;Action;Preconditions;Estimation;Prediction;DestinationPmId;DestinationVmId
787;;;18;Outsource;true;50;0;;;0
787;;;18;TurnOffPmAndMoveVms;false;0;25;;;0
805;;;19;CreateVmInsertApp;true;20;42;5;;0
805;;;19;CreateAppInsertIntoVm;true;3;92;;2;1
805;;;19;MoveApp;false;5;69;;;0
805;;;19;MoveVm;false;0;25;;;0
805;;;19;DoNothing;true;0;0;;;0
805;;;19;Outsource;true;50;0;;;0
805;;;19;TurnOffPmAndMoveVms;false;0;58;;;0
807;;;20;CreateVmInsertApp;true;20;44;6;;0
807;;;20;CreateAppInsertIntoVm;true;3;16;;4;32
807;;;20;MoveApp;false;5;35;;;0
807;;;20;MoveVm;false;0;56;;;0
807;;;20;DoNothing;true;0;0;;;0
807;;;20;Outsource;true;50;0;;;0
807;;;20;TurnOffPmAndMoveVms;false;0;82;;;0
857;;;21;CreateVmInsertApp;true;20;35;6;;1
857;;;21;CreateAppInsertIntoVm;true;3;92;;3;1
857;;;21;MoveApp;false;5;76;;;0
857;;;21;MoveVm;false;0;9;;;0
857;;;21;DoNothing;true;0;0;;;0
857;;;21;Outsource;true;50;0;;;0
857;;;21;TurnOffPmAndMoveVms;false;0;67;;;0
893;;;22;CreateVmInsertApp;true;20;49;7;;0
893;;;22;CreateAppInsertIntoVm;true;3;12;;3;1
893;;;22;MoveApp;false;5;13;;;0
893;;;22;MoveVm;false;0;76;;;0
893;;;22;DoNothing;true;0;0;;;0
893;;;22;Outsource;true;50;0;;;0
893;;;22;TurnOffPmAndMoveVms;false;0;41;;;0
961;;;23;CreateVmInsertApp;true;20;60;8;;0
961;;;23;CreateAppInsertIntoVm;true;3;50;;2;1
961;;;23;MoveApp;false;5;11;;;0
961;;;23;MoveVm;false;0;32;;;0
961;;;23;DoNothing;true;0;0;;;0
961;;;23;Outsource;true;50;0;;;0
961;;;23;TurnOffPmAndMoveVms;false;0;57;;;0
1022;;;24;CreateVmInsertApp;true;20;26;8;;0
1022;;;24;CreateAppInsertIntoVm;true;3;28;;5;1
1022;;;24;MoveApp;false;5;42;;;0
1022;;;24;MoveVm;false;0;40;;;0
1022;;;24;DoNothing;true;0;0;;;0
1022;;;24;Outsource;true;50;0;;;0
1022;;;24;TurnOffPmAndMoveVms;false;0;84;;;0
1070;;;25;CreateVmInsertApp;true;20;0;8;;0
1070;;;25;CreateAppInsertIntoVm;true;3;91;;5;1
1070;;;25;MoveApp;false;5;75;;;0
1070;;;25;MoveVm;false;0;18;;;0
1070;;;25;DoNothing;true;0;0;;;0
1070;;;25;Outsource;true;50;0;;;0
1070;;;25;TurnOffPmAndMoveVms;false;0;65;;;0
1071;;;26;CreateVmInsertApp;true;20;75;8;;0
1071;;;26;CreateAppInsertIntoVm;true;3;57;;5;1
1071;;;26;MoveApp;false;5;24;;;0
1071;;;26;MoveVm;false;0;48;;;0
1071;;;26;DoNothing;true;0;0;;;0
1071;;;26;Outsource;true;50;0;;;0
1071;;;26;TurnOffPmAndMoveVms;false;0;41;;;0
1129;;;27;CreateVmInsertApp;false;0;47;;;0
1129;;;27;CreateAppInsertIntoVm;true;3;51;;5;1
1129;;;27;MoveApp;false;5;51;;;0
1129;;;27;MoveVm;false;0;73;;;0
1129;;;27;DoNothing;true;0;0;;;0
1129;;;27;Outsource;true;50;0;;;0
1129;;;27;TurnOffPmAndMoveVms;false;0;34;;;0
1211;;;28;CreateVmInsertApp;false;0;35;;;0
1211;;;28;CreateAppInsertIntoVm;true;3;9;;6;2
1211;;;28;MoveApp;false;5;98;;;0
1211;;;28;MoveVm;false;0;57;;;0
1211;;;28;DoNothing;true;0;0;;;0
1211;;;28;Outsource;true;50;0;;;0
1211;;;28;TurnOffPmAndMoveVms;false;0;19;;;0
1245;;;29;CreateVmInsertApp;false;0;12;;;0
1245;;;29;CreateAppInsertIntoVm;true;3;35;;3;2
1245;;;29;MoveApp;false;5;84;;;0
1245;;;29;MoveVm;false;0;10;;;0
1245;;;29;DoNothing;true;0;0;;;0
1245;;;29;Outsource;true;50;0;;;0
1245;;;29;TurnOffPmAndMoveVms;false;0;1;;;0
1246;;;30;CreateVmInsertApp;false;0;8;;;0
1246;;;30;CreateAppInsertIntoVm;true;3;19;;3;2
1246;;;30;MoveApp;false;5;56;;;0
1246;;;30;MoveVm;false;0;48;;;0
1246;;;30;DoNothing;true;0;0;;;0
1246;;;30;Outsource;true;50;0;;;0
1246;;;30;TurnOffPmAndMoveVms;false;0;75;;;0
1321;2;;;CreateVmInsertApp;false;0;82;;;0
