GlobalTick;PmId;VmId;AppId;Action;Preconditions;Estimation;Prediction;DestinationPmId;DestinationVmId;Evaluation
14;;;1;DoNothing;true;0;0;;;0.0
15;1;1;2;CreateVmInsertApp;true;20;5;1;;0.0
21;;;3;Outsource;true;50;0;;;0.0
108;;;4;Outsource;true;50;0;;;0.0
252;1;1;5;CreateAppInsertIntoVm;true;3;69;;1;0.0
258;;;6;DoNothing;true;0;0;;;0.0
259;;;7;Outsource;true;50;0;;;0.0
355;1;1;8;CreateAppInsertIntoVm;true;3;32;;1;0.0
374;;;9;DoNothing;true;0;0;;;0.0
375;;;10;Outsource;true;50;0;;;0.0
435;2;2;11;CreateVmInsertApp;true;20;30;2;;0.0
501;1;1;12;CreateAppInsertIntoVm;true;3;25;;1;0.0
594;2;2;13;CreateAppInsertIntoVm;true;3;69;;2;0.0
786;;;14;DoNothing;true;0;0;;;0.0
787;;;15;DoNothing;true;0;0;;;0.0
788;3;3;16;CreateVmInsertApp;true;20;94;3;;0.0
805;4;4;17;CreateVmInsertApp;true;20;78;4;;0.0
807;3;5;18;CreateVmInsertApp;true;10;25;3;;0.0
857;1;1;19;CreateAppInsertIntoVm;true;3;66;;1;0.0
893;5;6;20;CreateVmInsertApp;true;20;29;5;;0.0
961;;;21;DoNothing;true;0;0;;;0.0
962;6;7;22;CreateVmInsertApp;true;20;37;6;;0.0
1022;7;8;23;CreateVmInsertApp;true;20;77;7;;0.0
1070;8;9;24;CreateVmInsertApp;true;20;76;8;;0.0
1129;;;25;Outsource;true;50;0;;;0.0
1211;;;26;DoNothing;true;0;0;;;0.0
1212;;;27;DoNothing;true;0;0;;;0.0
1213;;;28;DoNothing;true;0;0;;;0.0
1214;;;29;Outsource;true;50;0;;;0.0
1245;;;30;Outsource;true;50;0;;;0.0
1509;;;31;Outsource;true;50;0;;;0.0
1546;;;32;Outsource;true;50;0;;;0.0
1554;3;3;33;CreateAppInsertIntoVm;true;3;65;;3;0.0
1556;7;8;34;CreateAppInsertIntoVm;true;3;36;;8;0.0
1564;;;35;DoNothing;true;0;0;;;0.0
1565;;;36;DoNothing;true;0;0;;;0.0
1566;7;8;37;CreateAppInsertIntoVm;true;3;100;;8;0.0
1686;5;6;38;CreateAppInsertIntoVm;true;3;98;;6;0.0
1871;;;39;DoNothing;true;0;0;;;0.0
1872;;;40;DoNothing;true;0;0;;;0.0
1873;;;41;Outsource;true;50;0;;;0.0
1908;;;42;Outsource;true;50;0;;;0.0
2044;;;43;DoNothing;true;0;0;;;0.0
2045;;;44;DoNothing;true;0;0;;;0.0
2046;;;45;Outsource;true;50;0;;;0.0
2074;1;1;46;CreateAppInsertIntoVm;true;3;96;;1;0.0
2075;;;47;DoNothing;true;0;0;;;0.0
2076;;;48;Outsource;true;50;0;;;0.0
2128;;;49;DoNothing;true;0;0;;;0.0
2129;;;50;DoNothing;true;0;0;;;0.0
2130;;;51;DoNothing;true;0;0;;;0.0
2131;;;52;DoNothing;true;0;0;;;0.0
2132;;;53;Outsource;true;50;0;;;0.0
2142;;;54;DoNothing;true;0;0;;;0.0
2143;;;55;Outsource;true;50;0;;;0.0
2280;4;;;DoNothing;true;0;0;;;0.0
2281;4;;;DoNothing;true;0;0;;;0.0
2282;4;;;TurnOffPmAndMoveVms;true;0;3;;;0.0
2313;;;56;Outsource;true;50;0;;;0.0
2377;;;57;Outsource;true;50;0;;;0.0
2459;;;58;DoNothing;true;0;0;;;0.0
2460;;;59;DoNothing;true;0;0;;;0.0
2461;;;60;DoNothing;true;0;0;;;0.0
2462;;;61;Outsource;true;50;0;;;0.0
2487;;;62;Outsource;true;50;0;;;0.0
2502;;;63;Outsource;true;50;0;;;0.0
2533;6;7;64;CreateAppInsertIntoVm;true;3;65;;7;0.0
2577;3;3;65;CreateAppInsertIntoVm;true;3;83;;3;0.0
2627;;;66;Outsource;true;50;0;;;0.0
2642;;;67;DoNothing;true;0;0;;;0.0
2643;;;68;DoNothing;true;0;0;;;0.0
2644;;;69;Outsource;true;50;0;;;0.0
2718;2;2;70;CreateAppInsertIntoVm;true;3;100;;2;0.0
2998;3;3;71;CreateAppInsertIntoVm;true;3;48;;3;0.0
3007;;;72;DoNothing;true;0;0;;;0.0
3008;;;73;DoNothing;true;0;0;;;0.0
3009;5;6;74;CreateAppInsertIntoVm;true;3;47;;6;0.0
3052;;;75;Outsource;true;50;0;;;0.0
