GlobalTick;PmId;VmId;AppId;Action;Preconditions;Estimation;Prediction;DestinationPmId;DestinationVmId;Evaluation
3179;;;76;Outsource;true;50;0;;;0.0
3231;;;77;DoNothing;true;0;0;;;0.0
3232;;;78;Outsource;true;50;0;;;0.0
3275;;;79;Outsource;true;50;0;;;0.0
3291;4;10;80;CreateVmInsertApp;true;20;77;4;;0.0
3347;3;5;81;CreateAppInsertIntoVm;true;3;30;;5;0.0
3400;;;82;DoNothing;true;0;0;;;0.0
3401;;;83;DoNothing;true;0;0;;;0.0
3402;;;84;DoNothing;true;0;0;;;0.0
3403;;;85;DoNothing;true;0;0;;;0.0
3404;3;3;86;CreateAppInsertIntoVm;true;3;75;;3;0.0
3443;;;87;DoNothing;true;0;0;;;0.0
3444;;;88;DoNothing;true;0;0;;;0.0
3445;;;89;Outsource;true;50;0;;;0.0
3448;;;90;DoNothing;true;0;0;;;0.0
3449;3;5;91;CreateAppInsertIntoVm;true;3;79;;5;0.0
3596;;;92;Outsource;true;50;0;;;0.0
3656;;;93;DoNothing;true;0;0;;;0.0
3657;1;1;94;CreateAppInsertIntoVm;true;3;91;;1;0.0
3726;4;10;95;CreateAppInsertIntoVm;true;3;57;;10;0.0
3839;;;96;DoNothing;true;0;0;;;0.0
3840;;;97;DoNothing;true;0;0;;;0.0
3841;3;3;98;CreateAppInsertIntoVm;true;3;78;;3;0.0
3890;;;99;DoNothing;true;0;0;;;0.0
3891;1;1;100;CreateAppInsertIntoVm;true;3;93;;1;0.0
4179;;;101;DoNothing;true;0;0;;;0.0
4180;8;9;102;CreateAppInsertIntoVm;true;3;59;;9;0.0
4297;;;103;Outsource;true;50;0;;;0.0
4362;2;2;104;CreateAppInsertIntoVm;true;3;71;;2;0.0
4395;6;7;105;CreateAppInsertIntoVm;true;3;59;;7;0.0
4438;;;106;Outsource;true;50;0;;;0.0
4487;8;9;107;CreateAppInsertIntoVm;true;3;63;;9;0.0
4499;;;108;Outsource;true;50;0;;;0.0
4515;;;109;DoNothing;true;0;0;;;0.0
4516;;;110;Outsource;true;50;0;;;0.0
4608;2;2;111;CreateAppInsertIntoVm;true;3;28;;2;0.0
4622;;;112;Outsource;true;50;0;;;0.0
4870;6;7;113;CreateAppInsertIntoVm;true;3;25;;7;0.0
